area,REP,COL,S,N,H,P,PRED,INF,UR,T,DEV3,SH3,C3LC,AU3,NA,AZ
C1a,1,A,9,15,1.987,0.25,23.40425532,76.59574468,90.3,23.3,0.703945693,1.69E+15,7.408611366,0,15.58261178,76.89057005
C1a,2,A,14,19,2.552,0.25,23.40425532,76.59574468,90.3,23.3,0.703945693,1.69E+15,7.4086114,0,15.58261178,76.89057005
C1a,3,A,10,12,2.254,0.25,23.40425532,76.59574468,90.3,23.3,0.703945693,1.69E+15,7.4086114,0,15.58261178,76.89057005
C1a,4,A,18,28,2.682,0.25,23.40425532,76.59574468,90.3,23.3,0.703945693,1.69E+15,7.4086114,0,15.58261178,76.89057005
C1b,1,B,10,10,2.303,0.205882353,13.46153846,86.53846154,87.4,21.1,0.763714819,1.67805E+15,13.18300596,0.971842978,30.28568073,55.04271999
C1b,2,B,3,3,1.099,0.205882353,13.46153846,86.53846154,87.4,21.1,0.763714819,1.67805E+15,13.183006,0.971842978,30.28568073,55.04271999
C1b,3,B,7,8,1.906,0.205882353,13.46153846,86.53846154,87.4,21.1,0.763714819,1.67805E+15,13.183006,0.971842978,30.28568073,55.04271999
C1b,4,B,6,6,1.792,0.205882353,13.46153846,86.53846154,87.4,21.1,0.763714819,1.67805E+15,13.183006,0.971842978,30.28568073,55.04271999
C1c,1,C,4,6,1.33,0.35483871,27.86885246,67.21311475,87.7,22.9,0.755030665,1.87618E+16,18.88000472,0,17.5552474,63.50573865
C1c,2,C,7,7,1.946,0.35483871,27.86885246,67.21311475,87.7,22.9,0.755030665,1.87618E+16,18.8800047,0,17.5552474,63.50573865
C1c,3,C,7,10,1.834,0.35483871,27.86885246,67.21311475,87.7,22.9,0.755030665,1.87618E+16,18.8800047,0,17.5552474,63.50573865
C1c,4,C,1,1,0,0.35483871,27.86885246,67.21311475,87.7,22.9,0.755030665,1.87618E+16,18.8800047,0,17.5552474,63.50573865
C2a,1,A,14,16,2.599,0.413793103,50,47.05882353,85.7,21.8,0.817973914,1.88345E+15,30.23262679,0,21.72167444,48.03093818
C2a,2,A,17,22,2.752,0.413793103,50,47.05882353,85.7,21.8,0.817973914,1.88345E+15,30.2326268,0,21.72167444,48.03093818
C2a,3,A,2,2,0.6931,0.413793103,50,47.05882353,85.7,21.8,0.817973914,1.88345E+15,30.2326268,0,21.72167444,48.03093818
C2c,1,C,9,13,2.138,0.258064516,48.42105263,51.57894737,81.2,22.6,0.686169511,1.90247E+16,37.57235676,8.038984052,12.76137035,40.44595393
C2c,2,C,7,8,1.906,0.258064516,48.42105263,51.57894737,81.2,22.6,0.686169511,1.90247E+16,37.5723568,8.038984052,12.76137035,40.44595393
C2c,3,C,11,15,2.338,0.258064516,48.42105263,51.57894737,81.2,22.6,0.686169511,1.90247E+16,37.5723568,8.038984052,12.76137035,40.44595393
C2c,4,C,14,17,2.558,0.258064516,48.42105263,51.57894737,81.2,22.6,0.686169511,1.90247E+16,37.5723568,8.038984052,12.76137035,40.44595393
C3a,1,A,9,10,2.164,0.214285714,58.46153846,40.76923077,78,23.6,0.748461053,1.7234E+16,43.44141271,0,13.89381054,42.66477675
C3a,2,A,10,11,2.272,0.214285714,58.46153846,40.76923077,78,23.6,0.748461053,1.7234E+16,43.44141271,0,13.89381054,42.66477675
C3a,3,A,14,21,2.491,0.214285714,58.46153846,40.76923077,78,23.6,0.748461053,1.7234E+16,43.44141271,0,13.89381054,42.66477675
C3a,4,A,16,17,2.752,0.214285714,58.46153846,40.76923077,78,23.6,0.748461053,1.7234E+16,43.44141271,0,13.89381054,42.66477675
C3b,1,B,13,17,2.507,0.266666667,52,48,82.9,22.3,0.652499758,1.6214E+16,49.4419,0,12.0577732,38.0279716
C3b,2,B,4,4,1.386,0.266666667,52,48,82.9,22.3,0.652499758,1.6214E+16,49.4419,0,12.0577732,38.0279716
C3b,3,B,3,3,1.099,0.266666667,52,48,82.9,22.3,0.652499758,1.6214E+16,49.4419,0,12.0577732,38.0279716
C3b,4,B,7,7,1.946,0.266666667,52,48,82.9,22.3,0.652499758,1.6214E+16,49.4419,0,12.0577732,38.0279716
C3c,1,C,1,1,0,0.363636364,30.1369863,71.23287671,77.4,24,0.591244626,1.56033E+16,56.3929099,0,9.217134417,26.80945347
C3c,2,C,3,3,1.099,0.363636364,30.1369863,71.23287671,77.4,24,0.591244626,1.56033E+16,56.3929099,0,9.217134417,26.80945347
C3c,3,C,2,2,0.6931,0.363636364,30.1369863,71.23287671,77.4,24,0.591244626,1.56033E+16,56.3929099,0,9.217134417,26.80945347
C3c,4,C,6,8,1.733,0.363636364,30.1369863,71.23287671,77.4,24,0.591244626,1.56033E+16,56.3929099,0,9.217134417,26.80945347
